"LOCATION","Country","COMMODITY","Commodity","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","BV","Beef and veal","QC","Consumption","2020","2020","TONNE","Tonnes","3","Thousands",,,12386.595,,
"USA","United States","BV","Beef and veal","QC","Consumption","2021","2021","TONNE","Tonnes","3","Thousands",,,12403.84,,
"USA","United States","BV","Beef and veal","QC","Consumption","2022","2022","TONNE","Tonnes","3","Thousands",,,12121.05,,
"USA","United States","BV","Beef and veal","QC","Consumption","2023","2023","TONNE","Tonnes","3","Thousands",,,12177.263,,
"USA","United States","BV","Beef and veal","QC","Consumption","2024","2024","TONNE","Tonnes","3","Thousands",,,12240.244,,
"USA","United States","BV","Beef and veal","QC","Consumption","2025","2025","TONNE","Tonnes","3","Thousands",,,12348.722,,
"USA","United States","BV","Beef and veal","QC","Consumption","2026","2026","TONNE","Tonnes","3","Thousands",,,12507.083,,
"USA","United States","BV","Beef and veal","QC","Consumption","2027","2027","TONNE","Tonnes","3","Thousands",,,12639.514,,
"USA","United States","BV","Beef and veal","QC","Consumption","2028","2028","TONNE","Tonnes","3","Thousands",,,12822.208,,
"USA","United States","BV","Beef and veal","QC","Consumption","2029","2029","TONNE","Tonnes","3","Thousands",,,12902.458,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2020","2020","KG_HAB","Kilograms per capita","0","Units",,,26.195,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2021","2021","KG_HAB","Kilograms per capita","0","Units",,,26.081,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2022","2022","KG_HAB","Kilograms per capita","0","Units",,,25.342,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2023","2023","KG_HAB","Kilograms per capita","0","Units",,,25.318,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2024","2024","KG_HAB","Kilograms per capita","0","Units",,,25.309,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2025","2025","KG_HAB","Kilograms per capita","0","Units",,,25.394,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2026","2026","KG_HAB","Kilograms per capita","0","Units",,,25.58,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2027","2027","KG_HAB","Kilograms per capita","0","Units",,,25.712,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2028","2028","KG_HAB","Kilograms per capita","0","Units",,,25.945,,
"USA","United States","BV","Beef and veal","PC","Human consumption per capita","2029","2029","KG_HAB","Kilograms per capita","0","Units",,,25.969,,
